name,data
c001,21
c002,7
c003,1
c011,26
c012,0
c013,0
c014,5067
c021,20
c022,13
c023,0
c024,9
c025,24
c026,328
c027,243
c028,21
c029,1
c031,29
c032,64
c033,61
c041,2
c042,1
c043,24
c044,23
c045,891
c046,229
c047,839
c048,70
c049,1
c050,90
c061,173
c062,754
c071,2889
c072,140
c073,1505
c074,3294
c075,287
c076,338
c077,840
c078,1162
c079,1270
c080,169
c081,667
c082,372
c083,1
c084,1393
c085,1093
c101,3
c102,1
c103,1
c104,0
c105,0
c106,0
c107,1
c108,2
c111,2
c112,1
c113,3
c114,0
c115,8
c116,0
c117,0
c118,4
c119,2
c120,0
c121,13
c122,1
c123,0
c124,1
c125,5
c126,0
c127,1
c128,2
c129,0
c130,2
c131,16
c132,1
c133,155
c134,19
c135,2
c136,28
c137,1959
c138,164
c139,13
c140,1
c141,1
c142,68
c144,481
c146,0
c147,16
c151,0
c152,1
c153,13
c154,17
c155,10
c156,0
c157,2
c158,2
c159,0
c161,132
c162,282
c163,14705
c164,1688
c165,1
c166,1
c171,4
c172,0
c173,0
c174,0
c175,1
c176,0
c181,6
c182,61
c183,4
c184,8
c185,8
c186,0
c187,0
c188,8
c191,2229
c192,949
c193,1620
c194,1073
c195,494
c196,714
c197,591
c198,768
c199,97
c200,1
c201,96
c202,269
c203,18
c204,135
c205,1
c206,17
c211,56
c212,214
c213,22
c214,26
c215,9
c216,0
c217,1
c218,0
c219,256
c220,15
c221,318
c222,19
c223,0
c231,0
c232,426
c233,4
c234,3
c235,21
c236,0
c251,1
c252,503
c261,231
c262,63
c263,29
c271,5
c272,0
c301,35
c601,7
c602,9
c603,3
c604,8
c605,8
c606,52
c607,21
c608,9
c609,6
c610,156
c611,1
c612,13
c614,10
c615,4
c616,8
c617,0
c619,0
c620,0
c621,0
c625,0
c631,4
c632,6
c633,1
c634,14
c635,4
c636,25
c637,19
c639,53
c642,21
c671,260
c674,0
c681,13161
c691,0
c693,0
c694,12
c697,2
c699,0
c704,3
c705,22
c706,0
c710,0
c711,16
c713,0
c725,0
c731,38
c741,26
c742,20
c744,133
c745,0
c751,0
c752,0
c765,0
c817,0
c818,12
c819,16
c820,0
c871,0
c899,5
