name,201503,201404,201405,spring,201406,201407,201408,summer,201409,201410,201411,aturm,201412,201501,201502,winter,average,var
c001,37,28,34,99,42,46,47,135,44,29,30,103,51,24,21,96,108.25,326.25
c002,11,15,13,39,25,19,19,63,20,30,16,66,22,17,7,46,53.5,171
c003,0,2,1,3,3,1,1,5,1,1,1,3,0,0,1,1,3,2.666666667
c011,32,46,46,124,76,52,55,183,62,63,50,175,42,40,26,108,147.5,1376.333333
c012,2,0,3,5,1,0,0,1,0,3,5,8,1,1,0,2,4,10
c013,0,2,3,5,5,0,2,7,1,4,0,5,2,2,0,4,5.25,1.583333333
c021,24,26,44,94,31,22,19,72,20,22,20,62,16,21,20,57,71.25,268.9166667
c022,22,14,11,47,15,13,23,51,25,19,21,65,24,16,13,53,54,60
c023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0.25
c024,15,2,5,22,19,23,22,64,23,13,6,42,6,7,9,22,37.5,401
c025,19,24,15,58,24,19,28,71,17,14,19,50,19,11,24,54,58.25,82.91666667
c027,226,186,166,578,224,206,222,652,280,314,256,850,352,284,243,879,739.75,21802.91667
c028,21,18,21,60,11,9,15,35,10,26,13,49,23,9,21,53,49.25,110.9166667
c029,3,2,3,8,7,0,3,10,7,2,7,16,10,10,1,21,13.75,34.91666667
c031,28,24,31,83,32,26,29,87,31,36,23,90,27,22,29,78,84.5,27
c032,53,52,50,155,51,51,62,164,59,49,69,177,58,57,64,179,168.75,128.25
c033,59,59,47,165,74,52,63,189,56,45,73,174,84,59,61,204,183,294
c041,2,1,1,4,1,2,4,7,1,2,3,6,2,1,2,5,5.5,1.666666667
c042,5,4,2,11,2,4,4,10,2,3,4,9,2,0,1,3,8.25,12.91666667
c043,35,38,32,105,23,19,27,69,22,44,34,100,36,40,24,100,93.5,272.3333333
c044,31,25,28,84,24,18,24,66,16,29,30,75,45,30,23,98,80.75,186.25
c048,128,113,133,374,109,113,130,352,117,178,140,435,108,77,70,255,354,5588.666667
c049,0,0,3,3,0,0,0,0,0,1,0,1,1,1,1,3,1.75,2.25
c050,111,83,91,285,113,114,103,330,109,150,131,390,110,101,90,301,326.5,2139
c072,107,45,25,177,16,21,15,52,22,80,122,224,222,143,140,505,239.5,36597.66667
c083,0,0,2,2,0,1,2,3,2,0,1,3,0,1,1,2,2.5,0.333333333
c101,6,3,3,12,3,1,3,7,2,2,0,4,5,2,3,10,8.25,12.25
c102,0,0,1,1,1,1,1,3,1,0,1,2,2,4,1,7,3.25,6.916666667
c103,2,1,2,5,2,3,3,8,1,2,2,5,3,4,1,8,6.5,3
c104,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
c105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c107,0,2,3,5,1,2,4,7,3,0,0,3,2,0,1,3,4.5,3.666666667
c108,1,0,2,3,0,0,1,1,1,0,1,2,2,1,2,5,2.75,2.916666667
c111,6,4,9,19,3,6,6,15,7,6,7,20,8,3,2,13,16.75,10.91666667
c112,2,1,0,3,2,2,2,6,2,2,1,5,6,1,1,8,5.5,4.333333333
c113,1,0,1,2,1,0,1,2,4,2,0,6,5,1,3,9,4.75,11.58333333
c114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c115,8,2,2,12,7,3,1,11,1,8,7,16,10,7,8,25,16,40.66666667
c116,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.5,0.333333333
c117,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.25,0.25
c118,0,2,1,3,2,6,0,8,1,1,2,4,2,5,4,11,6.5,13.66666667
c119,2,1,2,5,4,9,0,13,1,5,1,7,3,2,2,7,8,12
c120,2,0,0,2,1,1,1,3,3,1,1,5,1,0,0,1,2.75,2.916666667
c121,9,7,2,18,10,7,7,24,8,11,6,25,11,4,13,28,23.75,17.58333333
c122,1,2,1,4,5,1,2,8,1,3,2,6,2,5,1,8,6.5,3.666666667
c123,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.5,0.333333333
c124,1,0,1,2,1,3,0,4,2,0,0,2,0,3,1,4,3,1.333333333
c125,8,5,4,17,4,2,6,12,3,12,6,21,12,7,5,24,18.5,27
c126,1,0,1,2,0,0,0,0,0,1,0,1,3,0,0,3,1.5,1.666666667
