name,data
c001,34
c002,13
c003,1
c011,46
c012,3
c013,3
c014,7378
c021,44
c022,11
c023,0
c024,5
c025,15
c026,289
c027,166
c028,21
c029,3
c031,31
c032,50
c033,47
c041,1
c042,2
c043,32
c044,28
c045,895
c046,257
c047,1070
c048,133
c049,3
c050,91
c061,227
c062,672
c071,3126
c072,25
c073,1144
c074,3694
c075,425
c076,417
c077,1203
c078,1554
c079,1476
c080,225
c081,862
c082,655
c083,2
c084,1652
c085,1413
c101,3
c102,1
c103,2
c104,0
c105,0
c106,0
c107,3
c108,2
c111,9
c112,0
c113,1
c114,0
c115,2
c116,0
c117,0
c118,1
c119,2
c120,0
c121,2
c122,1
c123,0
c124,1
c125,4
c126,1
c127,3
c128,1
c129,0
c130,0
c131,9
c132,2
c133,22
c134,10
c135,3
c136,28
c137,1597
c138,154
c139,4
c140,2
c141,1
c142,62
c144,298
c146,0
c147,0
c151,0
c152,0
c153,1
c154,16
c155,8
c156,1
c157,1
c158,2
c159,0
c161,93
c162,266
c164,4183
c165,3
c166,0
c171,7
c172,2
c173,1
c174,0
c175,0
c176,0
c181,5
c182,10
c183,0
c184,6
c185,1
c186,0
c187,0
c188,5
c191,1729
c192,1008
c193,1572
c194,1035
c195,554
c196,746
c197,631
c198,758
c199,81
c200,8
c201,64
c202,267
c203,24
c204,135
c205,5
c206,20
c211,26
c212,306
c213,26
c214,22
c215,17
c216,2
c217,0
c218,0
c219,289
c220,0
c221,280
c222,26
c223,0
c231,0
c232,437
c233,2
c234,0
c235,23
c236,0
c251,9
c252,1113
c261,659
c262,82
c263,111
c271,8
c272,0
c301,39
c601,10
c602,14
c603,3
c604,15
c605,6
c606,62
c607,15
c608,18
c609,5
c610,115
c611,1
c612,11
c614,1
c615,5
c616,14
c617,0
c619,1
c620,0
c621,2
c625,1
c631,8
c632,10
c633,4
c634,18
c635,2
c636,21
c637,19
c639,119
c642,21
c671,83
c674,0
c691,0
c693,0
c694,5
c697,3
c699,0
c704,4
c705,23
c706,0
c710,0
c711,20
c713,0
c725,0
c731,54
c741,35
c742,17
c744,120
c745,0
c751,0
c752,0
c765,0
c817,1
c818,4
c819,18
c820,0
c871,0
c899,3
